                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0385,                 1.5016,                0.59397,                0.94572,                0.85594,                0.59228,                0.63006,                0.44123,                0.64406,                0.55054,                0.57654,                0.35321,                0.86779,                 1.1698,                0.54115,                0.92329,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.0471,                 1.5045,                0.59361,                0.94354,                0.81827,                0.59954,                0.61808,                 0.4264,                0.59789,                0.54141,                0.54083,                0.33531,                0.86213,                 1.1614,                0.52193,                0.91858,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0437,                 1.5132,                0.58557,                0.94277,                0.85022,                 0.5854,                0.62878,                0.43192,                0.68359,                0.55059,                0.57008,                0.34182,                0.92676,                  1.155,                 0.5375,                0.94482,               0.000953,               0.000953,               0.000953
                     27,                 1.0322,                 1.4779,                 0.5728,                0.93688,                 0.8761,                0.60443,                0.64199,                0.45198,                 0.6874,                0.55707,                0.58129,                0.35562,                0.81763,                 1.1666,                0.50703,                0.91179,             0.00094062,             0.00094062,             0.00094062
                     28,                 0.9931,                 1.4623,                0.56324,                0.92847,                0.81384,                0.61476,                0.64067,                0.46054,                0.76339,                0.55234,                0.59938,                0.37023,                0.81189,                 1.1578,                0.50467,                0.91095,             0.00092825,             0.00092825,             0.00092825
                     29,                0.98796,                 1.4531,                0.55779,                0.92728,                0.87124,                0.61291,                0.65395,                0.45371,                0.71398,                 0.5839,                  0.611,                0.37063,                0.79716,                 1.1464,                 0.5127,                0.90673,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.0321,                 1.4685,                0.56925,                0.92464,                0.73502,                0.61362,                0.63023,                0.44965,                0.62612,                0.57547,                0.58074,                0.35252,                0.85549,                 1.1158,                0.50664,                0.91126,              0.0009035,              0.0009035,              0.0009035
                     31,                0.98271,                 1.4284,                0.54772,                0.92519,                 0.7566,                0.61597,                0.63181,                0.45218,                0.63767,                0.58149,                0.57838,                0.35844,                0.82997,                 1.1173,                 0.5007,                0.90678,             0.00089112,             0.00089112,             0.00089112
                     32,                0.97698,                 1.4407,                0.54555,                0.92085,                0.81048,                0.59387,                0.62833,                0.43775,                0.67903,                0.56093,                0.58389,                0.34078,                0.86103,                 1.1182,                0.50836,                0.91448,             0.00087875,             0.00087875,             0.00087875
                     33,                0.98757,                 1.4291,                0.55016,                 0.9222,                0.82567,                0.61533,                0.63129,                0.45653,                0.67165,                0.57423,                0.58976,                 0.3616,                0.79843,                 1.0978,                0.48477,                0.89874,             0.00086637,             0.00086637,             0.00086637
                     34,                0.95601,                 1.4115,                0.53707,                0.91727,                0.78849,                0.65058,                0.66144,                0.45894,                0.64516,                0.59036,                0.58375,                0.35531,                0.79656,                  1.126,                0.48348,                0.90219,               0.000854,               0.000854,               0.000854
                     35,                0.95652,                 1.4166,                0.52881,                0.91528,                0.77898,                0.61652,                0.65448,                0.45797,                0.66013,                 0.5929,                0.59483,                0.36411,                0.84055,                 1.1079,                0.49337,                 0.9042,             0.00084162,             0.00084162,             0.00084162
                     36,                0.95802,                  1.421,                0.53502,                0.91449,                0.87516,                0.60994,                0.65158,                 0.4589,                0.70396,                0.58031,                0.60256,                0.38127,                0.76046,                 1.0967,                0.47372,                0.89296,             0.00082925,             0.00082925,             0.00082925
                     37,                0.95642,                 1.3975,                 0.5318,                0.91781,                0.82405,                 0.5885,                0.62512,                0.44766,                0.67873,                0.55954,                0.58136,                0.36006,                 0.7865,                 1.0918,                0.48197,                0.89153,             0.00081688,             0.00081688,             0.00081688
                     38,                0.93509,                  1.403,                0.51964,                 0.9134,                0.88314,                0.61611,                0.64509,                0.47488,                0.75767,                0.58542,                0.60741,                0.38077,                0.73686,                 1.1161,                0.45502,                0.88995,              0.0008045,              0.0008045,              0.0008045
                     39,                0.93169,                 1.3885,                0.51866,                0.91011,                0.74881,                0.62751,                0.63548,                0.45142,                0.62251,                0.57179,                0.56998,                0.35102,                0.80653,                 1.1064,                0.47607,                0.89152,             0.00079213,             0.00079213,             0.00079213
                     40,                0.93103,                 1.3941,                0.51615,                0.91109,                0.81025,                0.61043,                0.66269,                0.47358,                0.67845,                0.60068,                0.62256,                0.38053,                0.74615,                 1.0854,                0.45427,                0.88482,             0.00077975,             0.00077975,             0.00077975
                     41,                0.91558,                  1.405,                0.51447,                0.90434,                0.77562,                0.65809,                0.65558,                0.47531,                0.63412,                 0.6003,                0.59609,                0.38463,                0.72158,                 1.0989,                0.44632,                0.88136,             0.00076738,             0.00076738,             0.00076738
                     42,                0.90779,                 1.3764,                0.51135,                0.90776,                0.79877,                0.63489,                0.64173,                0.45728,                0.64216,                0.59184,                0.57072,                0.37078,                 0.7405,                 1.0991,                0.45945,                0.88454,               0.000755,               0.000755,               0.000755
                     43,                0.91986,                 1.4194,                0.51479,                0.90756,                0.76008,                 0.6483,                0.65974,                 0.4653,                0.64323,                0.59463,                0.60104,                0.36603,                0.79918,                 1.1019,                 0.4657,                0.89073,             0.00074263,             0.00074263,             0.00074263
                     44,                0.90621,                 1.3846,                0.50246,                0.90313,                0.89513,                0.61462,                0.65532,                0.47721,                0.74778,                0.57751,                0.60622,                0.38387,                0.72958,                 1.0699,                0.44077,                0.88162,             0.00073025,             0.00073025,             0.00073025
                     45,                0.89374,                 1.3823,                0.49941,                0.90227,                0.79183,                0.63961,                0.66833,                0.47818,                0.77208,                0.54771,                0.60995,                0.38344,                0.71454,                 1.0562,                0.44211,                0.88055,             0.00071788,             0.00071788,             0.00071788
                     46,                0.91685,                 1.4044,                0.50459,                 0.9041,                0.82154,                 0.6263,                0.65224,                0.48609,                0.71732,                0.61448,                0.62093,                0.38855,                0.70911,                 1.0735,                0.44605,                0.87966,              0.0007055,              0.0007055,              0.0007055
                     47,                0.89956,                  1.397,                0.50027,                0.90018,                0.90442,                0.61889,                0.66159,                0.47629,                0.77228,                0.58193,                0.61181,                0.37882,                0.71861,                 1.0696,                0.43616,                0.88111,             0.00069313,             0.00069313,             0.00069313
                     48,                 0.8717,                  1.351,                0.48412,                0.89726,                0.86702,                 0.6346,                0.68332,                0.48878,                0.69945,                0.60861,                0.62727,                0.38364,                0.77028,                 1.0586,                0.44279,                 0.8871,             0.00068075,             0.00068075,             0.00068075
                     49,                0.89923,                 1.3769,                0.49829,                0.89727,                0.91739,                0.59362,                0.65397,                0.47223,                0.74891,                  0.561,                0.60975,                0.37625,                0.72689,                 1.0432,                0.43772,                0.87601,             0.00066838,             0.00066838,             0.00066838
                     50,                0.87305,                 1.3594,                0.49002,                0.89542,                0.89004,                0.60619,                 0.6485,                 0.4717,                0.72784,                 0.5697,                0.59755,                0.38933,                0.70108,                 1.0619,                0.42935,                0.87615,               0.000656,               0.000656,               0.000656
                     51,                0.86863,                  1.366,                0.48391,                0.89264,                0.81625,                0.62928,                 0.6726,                0.49578,                0.67538,                0.58906,                0.62433,                0.39102,                0.70187,                 1.0564,                0.42344,                0.87624,             0.00064362,             0.00064362,             0.00064362
                     52,                0.87609,                  1.358,                 0.4861,                0.89506,                0.83965,                0.63736,                0.66958,                0.48841,                0.80649,                0.57197,                0.62094,                 0.3934,                0.69174,                 1.0415,                0.42224,                0.87037,             0.00063125,             0.00063125,             0.00063125
                     53,                0.85223,                 1.3262,                0.47696,                0.88847,                0.82673,                0.65365,                0.67205,                0.49042,                0.69637,                0.58289,                0.60667,                0.38199,                0.69303,                 1.0388,                0.41984,                 0.8726,             0.00061887,             0.00061887,             0.00061887
                     54,                0.88213,                 1.3284,                0.48545,                 0.8921,                0.82012,                0.62698,                 0.6516,                0.47909,                0.68521,                0.58743,                0.59744,                0.37339,                0.70875,                  1.034,                0.43908,                 0.8714,              0.0006065,              0.0006065,              0.0006065
                     55,                0.86219,                 1.3565,                0.47781,                0.89066,                0.91771,                0.61546,                0.68067,                0.49236,                0.77686,                0.57709,                0.62101,                0.38494,                0.69829,                 1.0355,                0.42153,                0.87113,             0.00059413,             0.00059413,             0.00059413
                     56,                0.84823,                 1.3248,                 0.4716,                0.88611,                0.91388,                0.62337,                0.66261,                0.48603,                 0.7726,                0.58695,                0.61997,                0.38621,                0.68996,                 1.0502,                0.41639,                0.86918,             0.00058175,             0.00058175,             0.00058175
                     57,                 0.8546,                  1.345,                0.47113,                0.88737,                0.90018,                0.61373,                0.66695,                0.47917,                 0.7444,                0.57809,                0.61132,                0.38109,                0.71149,                 1.0379,                0.42006,                0.87289,             0.00056938,             0.00056938,             0.00056938
                     58,                0.83859,                 1.3364,                0.46816,                0.88375,                0.88805,                0.64587,                0.69471,                0.50704,                0.78021,                0.59845,                0.62847,                0.40528,                0.67425,                 1.0299,                0.40803,                0.86704,               0.000557,               0.000557,               0.000557
                     59,                0.85789,                 1.3278,                0.46705,                0.88653,                0.87455,                0.62548,                0.67079,                0.49137,                0.74686,                0.58782,                0.62375,                0.40394,                0.68617,                 1.0388,                0.41356,                 0.8698,             0.00054463,             0.00054463,             0.00054463
                     60,                0.85231,                 1.3452,                0.46989,                0.88672,                0.88547,                0.62359,                 0.6558,                0.49615,                0.74857,                0.58854,                0.60827,                0.40096,                0.67462,                 1.0367,                0.41304,                0.86906,             0.00053225,             0.00053225,             0.00053225
                     61,                0.84737,                 1.3342,                0.46852,                0.88151,                0.93726,                0.61715,                0.67352,                0.50343,                0.80479,                0.58654,                0.61566,                 0.4032,                0.65704,                 1.0197,                0.40429,                0.86565,             0.00051988,             0.00051988,             0.00051988
                     62,                0.83427,                 1.3158,                  0.463,                0.88502,                0.93745,                0.62594,                0.66924,                0.50687,                0.80242,                0.58769,                0.61374,                0.39716,                0.68164,                 1.0292,                0.40211,                0.86483,              0.0005075,              0.0005075,              0.0005075
                     63,                0.83693,                 1.3148,                 0.4627,                0.88378,                0.87975,                0.62842,                0.66999,                0.50853,                0.77411,                0.60094,                 0.6205,                0.40544,                0.65955,                 1.0076,                0.39924,                  0.864,             0.00049513,             0.00049513,             0.00049513
                     64,                 0.8333,                 1.3104,                0.45949,                0.88349,                0.90014,                0.62869,                0.66847,                0.50702,                0.75988,                0.59038,                0.61724,                0.39956,                0.69159,                 1.0136,                0.41312,                0.86686,             0.00048275,             0.00048275,             0.00048275
                     65,                0.82255,                 1.3136,                0.45459,                0.88107,                0.88278,                0.62896,                0.67058,                 0.5098,                 0.7487,                0.59374,                0.61536,                0.39637,                0.65531,                 1.0118,                0.40172,                0.86335,             0.00047038,             0.00047038,             0.00047038
                     66,                0.82812,                 1.3291,                 0.4581,                0.87977,                0.82483,                 0.6469,                0.65779,                0.49902,                0.70115,                 0.6086,                0.59712,                0.38714,                0.67037,                 1.0228,                0.40786,                0.86241,               0.000458,               0.000458,               0.000458
                     67,                0.80815,                 1.3023,                 0.4487,                 0.8807,                0.86105,                0.62488,                0.66169,                0.50039,                0.72601,                0.59163,                0.61457,                0.40153,                0.65332,                 1.0295,                0.39858,                0.86367,             0.00044563,             0.00044563,             0.00044563
                     68,                 0.8143,                 1.2946,                0.45054,                0.87573,                0.81107,                0.66984,                0.69353,                0.51129,                0.77202,                0.58763,                0.64134,                0.39847,                0.66489,                 1.0068,                0.39883,                0.86048,             0.00043325,             0.00043325,             0.00043325
                     69,                 0.7994,                 1.2976,                0.44532,                0.87434,                0.78179,                0.66321,                0.67784,                0.51286,                0.68793,                0.63039,                0.63097,                0.40895,                0.63949,                 1.0122,                0.39217,                0.85926,             0.00042087,             0.00042087,             0.00042087
                     70,                0.81463,                 1.2976,                0.44909,                0.87608,                0.89287,                0.63344,                0.67683,                 0.5062,                0.69704,                0.62108,                0.61634,                0.39437,                0.65666,                 1.0215,                 0.3958,                0.86107,              0.0004085,              0.0004085,              0.0004085
                     71,                0.81598,                 1.3085,                0.45018,                0.87549,                0.89234,                0.64091,                0.68069,                0.50463,                0.71067,                0.62883,                0.63631,                0.39404,                0.64924,                 1.0105,                0.38933,                 0.8595,             0.00039613,             0.00039613,             0.00039613
                     72,                 0.7909,                 1.2867,                0.43806,                0.87426,                0.86053,                0.64911,                0.68627,                0.50227,                  0.716,                0.61972,                0.64256,                 0.3929,                0.67089,                 1.0117,                0.39834,                0.86074,             0.00038375,             0.00038375,             0.00038375
                     73,                0.80732,                 1.2913,                0.44679,                0.87801,                0.88186,                0.64471,                0.69018,                 0.5135,                0.73782,                0.64759,                0.64236,                0.40904,                0.64062,                0.99219,                0.38986,                0.85821,             0.00037138,             0.00037138,             0.00037138
                     74,                 0.7955,                 1.2824,                0.43909,                0.87441,                0.86932,                0.65258,                0.68761,                0.51876,                0.72586,                0.63514,                0.64094,                0.40121,                0.64565,                 1.0033,                0.38793,                0.85837,               0.000359,               0.000359,               0.000359
                     75,                0.80665,                 1.2975,                0.44381,                0.87169,                0.92203,                0.62043,                0.68097,                0.50954,                0.79669,                0.57442,                0.63149,                0.40149,                0.65847,                 1.0082,                0.38967,                0.85703,             0.00034663,             0.00034663,             0.00034663
                     76,                0.78965,                 1.2663,                0.43442,                 0.8711,                 0.9308,                0.62052,                0.68819,                0.51593,                0.79852,                0.58854,                0.63509,                0.41126,                0.63347,                0.99336,                0.38184,                0.85601,             0.00033425,             0.00033425,             0.00033425
                     77,                0.78952,                 1.2654,                0.43698,                0.87161,                0.91735,                0.63518,                0.69642,                0.51324,                 0.7785,                0.57313,                0.61964,                0.39789,                 0.6416,                0.99506,                0.38681,                0.85997,             0.00032188,             0.00032188,             0.00032188
                     78,                0.79083,                 1.2905,                0.43485,                0.87735,                0.87357,                 0.6438,                0.69511,                 0.5255,                0.78142,                0.60304,                0.62747,                0.40513,                0.62775,                0.99275,                0.37582,                0.85303,              0.0003095,              0.0003095,              0.0003095
                     79,                0.78493,                 1.2794,                0.43345,                0.87112,                0.93791,                0.65044,                0.70156,                0.52542,                 0.7965,                0.62148,                0.64265,                0.41662,                0.63265,                 1.0172,                0.38137,                0.85703,             0.00029713,             0.00029713,             0.00029713
                     80,                0.78603,                  1.275,                 0.4312,                0.87032,                0.92978,                0.63363,                0.68546,                0.51852,                0.82366,                0.60065,                0.63042,                0.40517,                0.64821,                0.99703,                0.38299,                0.85555,             0.00028475,             0.00028475,             0.00028475
                     81,                0.77904,                  1.259,                0.43056,                0.86627,                0.87961,                0.64656,                0.68992,                 0.5209,                0.82329,                0.60918,                0.62934,                0.40962,                0.62592,                0.99245,                0.37896,                0.85467,             0.00027237,             0.00027237,             0.00027237
                     82,                0.77757,                 1.2572,                0.42755,                0.87206,                0.92274,                0.62893,                0.69204,                0.51857,                0.81971,                0.59105,                0.63633,                0.40993,                0.63411,                0.97817,                0.37646,                0.85556,                0.00026,                0.00026,                0.00026
                     83,                0.78205,                 1.2877,                 0.4322,                0.87012,                0.88129,                0.66175,                0.68888,                0.51485,                0.78341,                0.62756,                0.65533,                0.41239,                 0.6432,                0.99622,                0.37965,                0.85459,             0.00024762,             0.00024762,             0.00024762
                     84,                0.77856,                 1.2759,                0.42916,                0.86846,                0.84191,                0.66206,                0.69392,                  0.527,                0.71988,                0.62342,                 0.6342,                0.39698,                0.63711,                0.99594,                0.38266,                0.85332,             0.00023525,             0.00023525,             0.00023525
                     85,                0.77155,                 1.2631,                0.42715,                0.87029,                0.88073,                0.66845,                0.69362,                0.52402,                0.75989,                 0.6301,                0.63863,                0.40807,                0.62744,                0.98726,                0.37712,                0.85291,             0.00022288,             0.00022288,             0.00022288
                     86,                0.77126,                 1.2544,                0.42448,                0.86568,                0.91189,                0.62764,                0.68243,                 0.5226,                0.77994,                 0.5922,                0.62105,                0.40834,                0.61564,                0.97571,                0.37208,                0.85129,              0.0002105,              0.0002105,              0.0002105
                     87,                0.77734,                 1.2655,                0.42608,                0.86908,                0.88935,                0.64212,                0.69254,                0.53079,                0.74251,                0.65865,                0.65843,                0.42203,                0.62058,                0.97903,                0.37383,                0.85246,             0.00019813,             0.00019813,             0.00019813
