                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.76059,                 1.2479,                0.47004,                0.83989,                0.79415,                0.73211,                0.75117,                0.54928,                0.72327,                0.69994,                0.69853,                0.42035,                0.61261,                0.95952,                0.41245,                0.83285,             0.00096537,             0.00096537,             0.00096537
                     26,                0.76606,                 1.2594,                0.46959,                0.83794,                0.89178,                0.69934,                0.75023,                0.56541,                 0.7989,                0.66141,                0.69742,                0.43321,                0.60905,                0.94211,                 0.4079,                0.83708,               0.000953,               0.000953,               0.000953
                     27,                0.74879,                 1.2324,                0.45205,                0.83612,                0.90511,                0.69694,                0.75225,                0.56326,                0.84595,                0.66671,                0.70373,                0.42107,                0.61558,                 0.9371,                0.40325,                0.83107,             0.00094062,             0.00094062,             0.00094062
                     28,                0.74539,                 1.2231,                0.44739,                0.83494,                0.92435,                0.70863,                0.75946,                0.56793,                0.82522,                0.70074,                0.71775,                0.43833,                0.59436,                0.94897,                0.39135,                0.83022,             0.00092825,             0.00092825,             0.00092825
                     29,                0.72527,                 1.2042,                0.43743,                0.83262,                0.89232,                0.71577,                0.75331,                0.57067,                0.86458,                0.69877,                0.72376,                0.43871,                0.57396,                0.93517,                0.38265,                0.82688,             0.00091588,             0.00091588,             0.00091588
                     30,                0.73262,                 1.2143,                0.44141,                0.83101,                0.90486,                0.71766,                0.77329,                0.56841,                0.74668,                0.68971,                0.69261,                0.42877,                0.57751,                0.94672,                 0.3957,                0.82583,              0.0009035,              0.0009035,              0.0009035
                     31,                0.72516,                 1.1946,                0.43937,                0.83588,                0.88014,                0.69954,                0.74933,                0.56345,                0.81653,                0.66495,                0.70807,                0.42808,                0.61064,                0.96495,                0.40369,                0.82909,             0.00089112,             0.00089112,             0.00089112
                     32,                0.72587,                 1.2195,                0.44263,                0.83385,                0.86402,                0.72968,                0.76959,                0.57817,                0.84649,                0.64887,                0.69193,                0.43022,                 0.5987,                0.93503,                0.39858,                0.83025,             0.00087875,             0.00087875,             0.00087875
                     33,                0.72459,                 1.2064,                0.43911,                0.83249,                0.91877,                0.72166,                0.77027,                0.57301,                0.85432,                0.68582,                0.71622,                0.43317,                0.61692,                0.93752,                0.39285,                 0.8263,             0.00086637,             0.00086637,             0.00086637
                     34,                0.71077,                 1.1833,                0.43076,                0.83125,                0.83534,                0.71572,                0.76522,                0.57741,                0.78542,                 0.6796,                0.70418,                0.44459,                0.56209,                0.90918,                0.38068,                 0.8252,               0.000854,               0.000854,               0.000854
                     35,                0.71243,                 1.1774,                0.43032,                0.83016,                 0.8741,                0.71319,                0.77505,                0.58665,                0.84123,                 0.6958,                0.72459,                0.44166,                0.56758,                 0.9224,                0.37929,                0.82439,             0.00084162,             0.00084162,             0.00084162
                     36,                0.70296,                 1.1793,                0.42515,                0.83038,                0.89668,                0.71112,                0.76962,                 0.5906,                 0.8305,                0.67564,                0.70936,                0.43248,                0.55698,                0.89751,                0.36951,                0.82342,             0.00082925,             0.00082925,             0.00082925
                     37,                0.70272,                 1.1786,                0.42403,                0.83239,                0.89712,                0.73394,                0.77928,                0.58978,                0.82895,                 0.6807,                0.70384,                0.41737,                0.57881,                 0.9152,                0.37737,                0.82762,             0.00081688,             0.00081688,             0.00081688
                     38,                0.69495,                  1.174,                0.42106,                0.82944,                0.86869,                0.72199,                0.76769,                0.59094,                 0.7987,                0.67778,                0.70686,                 0.4465,                0.56554,                0.91254,                0.37526,                0.82541,              0.0008045,              0.0008045,              0.0008045
                     39,                0.72464,                 1.1763,                0.43282,                0.83273,                0.90026,                0.73337,                0.77873,                0.58691,                0.83327,                0.69212,                0.71911,                0.41774,                0.57696,                0.92926,                0.38197,                0.82369,             0.00079213,             0.00079213,             0.00079213
                     40,                0.69884,                 1.1646,                0.41656,                0.83009,                0.87332,                0.73795,                0.78032,                 0.5945,                0.78805,                0.69418,                0.70577,                0.43824,                0.56698,                0.90224,                0.37379,                0.82516,             0.00077975,             0.00077975,             0.00077975
                     41,                0.69437,                 1.1735,                0.41903,                0.82928,                0.90872,                0.69398,                0.77266,                0.59168,                0.84439,                0.66182,                0.71909,                0.44636,                0.57567,                0.91926,                0.37601,                0.82633,             0.00076738,             0.00076738,             0.00076738
                     42,                0.69189,                 1.1567,                0.42096,                0.83106,                0.94658,                0.73964,                 0.8036,                0.60084,                0.85883,                0.68682,                  0.726,                0.45489,                0.54572,                0.92692,                0.36336,                0.82179,               0.000755,               0.000755,               0.000755
                     43,                0.69269,                 1.1852,                0.42121,                0.83146,                0.90886,                0.71855,                0.79202,                0.58557,                0.85358,                0.68793,                0.73871,                0.44152,                0.59767,                0.95264,                0.38725,                0.83472,             0.00074263,             0.00074263,             0.00074263
