                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.26978,                 7.9827,                0.29757,                0.26197,                 1.0447,                0.99781,                      1,                  0.995,                0.95635,                0.03509,                0.03509,                0.00911,                0.00171,                0.36044,                 8.3275,                 0.3722,                0.35968,                0.74294,              0.0019129,              0.0019129,              0.0019129
                     25,                0.27107,                 7.4981,                0.29356,                0.25709,                 1.0633,                0.99748,                      1,                  0.995,                0.97036,                0.01823,                0.01754,                0.00846,                0.00085,                0.43075,                 8.5674,                0.36685,                0.47937,                0.81891,              0.0019089,              0.0019089,              0.0019089
                     26,                0.28704,                 7.7536,                0.29929,                0.25997,                 1.0802,                0.99886,                      1,                  0.995,                 0.9701,                      0,                      0,                      0,                      0,                0.41989,                 8.6995,                0.36764,                0.50755,                0.83024,               0.001905,               0.001905,               0.001905
                     27,                0.23145,                  7.184,                0.29163,                0.23717,                 1.0491,                0.99797,                      1,                  0.995,                0.94298,                0.01813,                0.01754,                0.00376,                0.00038,                0.43435,                 8.1318,                0.37291,                0.37522,                0.82481,               0.001901,               0.001901,               0.001901
                     28,                0.26583,                 7.6361,                0.28961,                0.23664,                 1.0829,                0.99005,                      1,                  0.995,                0.95186,                0.03603,                0.03509,                0.01025,                0.00151,                0.39094,                 8.1656,                0.37941,                0.41407,                0.81609,               0.001897,               0.001897,               0.001897
                     29,                0.25437,                  7.101,                0.29557,                0.24961,                 1.0483,                0.99625,                      1,                  0.995,                 0.9582,                0.08876,                0.08772,                0.03618,                0.00619,                0.42222,                 8.4317,                0.35981,                0.44716,                0.82314,              0.0018931,              0.0018931,              0.0018931
                     30,                0.23931,                 6.8773,                0.29203,                0.23115,                 1.0593,                0.99804,                      1,                  0.995,                0.93879,                0.14007,                0.14035,                0.05394,                0.00943,                0.45924,                 7.5635,                0.36728,                0.43172,                0.86947,              0.0018891,              0.0018891,              0.0018891
                     31,                0.27632,                 6.9586,                0.29277,                 0.2678,                 1.0554,                 0.9811,                      1,                0.99483,                0.93661,                0.15219,                0.15747,                0.06257,                0.01357,                0.41028,                 7.3663,                0.36926,                0.39965,                0.81325,              0.0018852,              0.0018852,              0.0018852
                     32,                0.22648,                 6.8153,                0.28918,                0.24662,                 1.0333,                0.99863,                      1,                  0.995,                0.97495,                0.26292,                0.26316,                0.12772,                0.02202,                0.33514,                 7.4312,                0.36299,                0.38066,                0.71469,              0.0018812,              0.0018812,              0.0018812
                     33,                0.22532,                 6.5232,                0.28617,                0.23856,                 1.0214,                0.98992,                      1,                  0.995,                0.95586,                0.06971,                0.07018,                0.03219,                0.00493,                0.40049,                 7.3473,                0.37188,                 0.4081,                 0.7869,              0.0018772,              0.0018772,              0.0018772
                     34,                0.21147,                 6.4769,                0.29497,                0.23199,                  1.014,                0.99353,                      1,                  0.995,                0.95201,                0.17017,                0.15789,                0.06213,                0.01415,                0.45168,                  7.185,                0.36719,                0.45174,                0.88329,              0.0018733,              0.0018733,              0.0018733
