                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2789,                 11.535,                0.69065,                  6.866,                 3.4095,                0.99629,                      1,                  0.995,                0.65565,                      0,                      0,                      0,                      0,                 1.3909,                 11.572,                0.66839,                 2.2957,                 2.9721,                0.00024,                0.00024,                0.00024
                      2,                0.55703,                 11.468,                0.56333,                 0.4778,                 1.3676,                0.99897,                      1,                  0.995,                0.96554,                      0,                      0,                      0,                      0,                0.42894,                 11.525,                0.58994,                0.40615,                0.87131,             0.00049901,             0.00049901,             0.00049901
                      3,                 0.3373,                 11.281,                0.49906,                0.30757,                 1.1817,                0.99582,                      1,                  0.995,                0.96825,                      0,                      0,                      0,                      0,                0.36105,                 11.745,                0.51006,                0.59696,                0.74184,             0.00075699,             0.00075699,             0.00075699
                      4,                 0.3212,                 11.217,                0.42944,                0.33353,                 1.1265,                0.99706,                      1,                  0.995,                0.96661,                      0,                      0,                      0,                      0,                0.36819,                 11.461,                0.61033,                0.79297,                0.86892,              0.0010139,              0.0010139,              0.0010139
                      5,                0.32487,                 10.853,                 0.3999,                0.31289,                 1.1181,                 0.9503,                      1,                  0.995,                 0.9411,                      0,                      0,                      0,                      0,                0.42431,                 11.731,                0.68347,                 1.8341,                 0.9281,              0.0012699,              0.0012699,              0.0012699
                      6,                0.35333,                 10.742,                0.37482,                0.38754,                 1.1167,                0.94668,                      1,                  0.995,                0.95313,                      0,                      0,                      0,                      0,                0.36895,                  11.65,                0.68229,                 1.4691,                0.91983,              0.0015248,              0.0015248,              0.0015248
                      7,                0.34336,                 10.226,                0.36742,                0.32857,                 1.1344,                0.97917,                0.82456,                0.96756,                0.84414,                      0,                      0,                      0,                      0,                0.57516,                 11.424,                0.60568,                 3.3466,                 1.0431,              0.0017786,              0.0017786,              0.0017786
                      8,                0.35792,                 10.083,                 0.3571,                0.36643,                 1.1381,                0.85386,                      1,                 0.9846,                0.75614,                      0,                      0,                      0,                      0,                0.59131,                 11.343,                0.61404,                 3.2966,                 1.3439,              0.0019723,              0.0019723,              0.0019723
                      9,                 0.3359,                 9.9443,                0.35506,                 0.3543,                 1.1445,                0.93065,                0.92982,                0.97014,                0.73666,                      0,                      0,                      0,                      0,                 1.0369,                 11.028,                0.51243,                 1.7634,                 1.5836,              0.0019723,              0.0019723,              0.0019723
                     10,                0.31567,                 9.7059,                 0.3518,                0.35561,                 1.1129,                0.62734,                0.59075,                0.61212,                0.23943,                      0,                      0,                      0,                      0,                  2.041,                   10.8,                0.44259,                 1.6755,                 2.6028,              0.0019683,              0.0019683,              0.0019683
