                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.2256,                 7.7383,                0.31189,                0.24737,                 1.0097,                0.98088,                      1,                0.99483,                0.97763,                0.12117,                0.12281,                0.06242,                0.01843,                0.33451,                 8.2737,                0.37097,                0.60163,                0.69411,              0.0015644,              0.0015644,              0.0015644
                     25,                0.22652,                 7.1439,                0.30585,                0.24812,                 1.0236,                0.99248,                      1,                  0.995,                0.98068,                0.14131,                0.14035,                0.11233,                0.02754,                0.36595,                 7.6435,                0.38237,                0.44669,                0.76585,              0.0015446,              0.0015446,              0.0015446
                     26,                0.22796,                 7.2991,                0.30794,                0.23739,                 1.0197,                0.99833,                      1,                  0.995,                0.97166,                0.12822,                0.12281,                0.05182,                0.00893,                0.38605,                 8.2254,                0.37394,                0.40521,                0.78457,              0.0015248,              0.0015248,              0.0015248
                     27,                0.21956,                 6.9057,                0.29785,                0.24201,                 1.0327,                0.99681,                      1,                  0.995,                0.92065,                0.11913,                0.10526,                0.05287,                0.01404,                0.42584,                 7.3552,                0.37421,                 0.4319,                 0.8849,               0.001505,               0.001505,               0.001505
                     28,                 0.2015,                 7.1699,                0.29177,                0.23595,                 1.0191,                0.99906,                      1,                  0.995,                0.97144,                0.17535,                0.17544,                 0.0749,                0.01056,                 0.4391,                 7.3538,                0.36497,                 0.4894,                0.88679,              0.0014852,              0.0014852,              0.0014852
                     29,                0.21942,                 6.7233,                0.30107,                0.23931,                 1.0166,                0.99903,                      1,                  0.995,                0.96365,                0.22792,                0.22807,                0.12821,                0.02458,                0.34577,                 6.8169,                0.36021,                 0.4218,                0.75577,              0.0014654,              0.0014654,              0.0014654
                     30,                0.21922,                 6.8507,                0.29968,                 0.2247,                 1.0388,                0.98976,                      1,                  0.995,                0.99031,                0.22803,                0.22807,                0.20214,                0.03004,                0.37702,                 7.2649,                0.34708,                0.43547,                0.75731,              0.0014456,              0.0014456,              0.0014456
                     31,                0.21955,                  6.743,                0.29778,                0.22669,                 1.0125,                0.99613,                      1,                  0.995,                0.98469,                0.22977,                0.22807,                0.22245,                0.05855,                0.31017,                  6.962,                 0.3526,                0.43302,                 0.6733,              0.0014258,              0.0014258,              0.0014258
                     32,                0.20315,                 6.6728,                 0.2935,                0.21669,                 1.0092,                0.99902,                      1,                  0.995,                0.96505,                 0.2105,                0.21053,                0.12393,                0.02562,                0.34882,                 7.0798,                0.34695,                0.44463,                0.74727,               0.001406,               0.001406,               0.001406
                     33,                0.20439,                 6.6419,                 0.2891,                0.21433,                 1.0121,                0.99896,                      1,                  0.995,                0.97088,                 0.1765,                0.17544,                0.09297,                0.01389,                0.34582,                 7.5102,                0.36334,                0.50431,                0.75397,              0.0013862,              0.0013862,              0.0013862
                     34,                0.21974,                 6.5633,                0.29765,                 0.2375,                 1.0176,                0.99702,                      1,                  0.995,                0.95896,                0.22774,                0.22807,                0.16813,                0.02416,                 0.3708,                 6.8554,                0.35978,                0.41502,                0.79097,              0.0013664,              0.0013664,              0.0013664
                     35,                0.20859,                 6.3091,                0.29423,                0.22453,                0.98878,                0.99896,                      1,                  0.995,                0.96139,                0.24536,                0.24561,                0.12977,                0.04114,                0.31732,                 6.7865,                0.36963,                0.42019,                0.70232,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.1985,                 6.5023,                0.29275,                0.20462,                  1.023,                0.99899,                      1,                  0.995,                0.95548,                0.22791,                0.22807,                0.13478,                0.04007,                0.32672,                 7.0692,                0.38217,                 0.3141,                0.71002,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.2137,                 6.3307,                0.29495,                0.21971,                 1.0002,                0.99904,                      1,                  0.995,                0.97345,                0.20902,                0.22807,                0.13196,                  0.043,                0.32866,                 6.4632,                0.36341,                0.33827,                0.71358,               0.001307,               0.001307,               0.001307
                     38,                0.18397,                 6.5015,                0.27863,                0.20275,                 1.0073,                0.99917,                      1,                  0.995,                0.98297,                0.26668,                0.26316,                0.15762,                 0.0574,                0.32993,                 6.4738,                 0.3647,                0.39057,                0.71681,              0.0012872,              0.0012872,              0.0012872
                     39,                0.20765,                 5.9985,                0.28361,                0.21351,                0.99362,                0.99906,                      1,                  0.995,                0.97486,                0.31871,                0.31579,                 0.1966,                0.04661,                0.33537,                 6.3247,                0.36277,                0.36481,                0.73184,              0.0012674,              0.0012674,              0.0012674
                     40,                0.20876,                 6.0467,                 0.2915,                0.21711,                 1.0088,                0.99903,                      1,                  0.995,                0.98338,                0.36819,                0.36842,                   0.24,                0.09165,                0.35725,                 6.0764,                0.34586,                0.39925,                0.74386,              0.0012476,              0.0012476,              0.0012476
                     41,                0.20438,                  5.995,                0.28236,                0.21111,                 1.0124,                0.99909,                      1,                  0.995,                0.97879,                0.40692,                0.40351,                0.27755,                0.08755,                 0.3642,                 5.9492,                0.34382,                0.35205,                0.75705,              0.0012278,              0.0012278,              0.0012278
                     42,                0.19374,                 5.8568,                0.27715,                0.20362,                 1.0064,                0.99888,                      1,                  0.995,                0.95285,                0.33303,                0.33333,                0.19372,                0.04358,                 0.3834,                 6.1032,                0.34514,                0.36793,                 0.7989,               0.001208,               0.001208,               0.001208
                     43,                0.19802,                 5.8651,                0.28169,                0.20444,                0.99898,                  0.999,                      1,                  0.995,                0.95788,                0.42063,                0.42105,                0.26329,                0.08994,                0.35523,                 5.5889,                0.34113,                 0.3484,                0.74873,              0.0011882,              0.0011882,              0.0011882
                     44,                0.20254,                 5.6988,                0.27234,                0.19425,                 1.0069,                0.99906,                      1,                  0.995,                0.98043,                0.29796,                0.29825,                0.16719,                0.04503,                0.35845,                 6.7016,                0.33646,                 0.4084,                0.75833,              0.0011684,              0.0011684,              0.0011684
                     45,                0.21535,                 5.7033,                 0.2723,                0.20587,                 1.0264,                0.99906,                      1,                  0.995,                0.95815,                0.31549,                0.31579,                0.18892,                 0.0442,                  0.382,                 5.9371,                0.34123,                0.36342,                0.78794,              0.0011486,              0.0011486,              0.0011486
                     46,                0.20444,                 5.5926,                 0.2655,                0.21236,                0.99858,                0.99905,                      1,                  0.995,                0.96772,                0.38564,                0.38596,                0.26537,                0.05489,                0.33965,                 5.8138,                0.34395,                0.33209,                0.72141,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.2041,                 5.6182,                0.26923,                0.20355,                 0.9907,                0.99907,                      1,                  0.995,                0.96778,                0.36812,                0.36842,                0.23208,                0.05656,                0.35013,                  5.489,                0.33679,                0.36153,                0.73192,               0.001109,               0.001109,               0.001109
                     48,                0.19509,                 5.5302,                0.26918,                0.19426,                 1.0033,                0.99903,                      1,                  0.995,                0.97076,                0.43817,                 0.4386,                0.28523,                0.08238,                0.34125,                 5.5394,                0.32182,                0.38908,                0.72223,              0.0010892,              0.0010892,              0.0010892
                     49,                0.18339,                 5.2904,                0.25025,                0.18872,                0.99766,                0.99901,                      1,                  0.995,                0.96464,                0.57838,                0.57895,                0.42927,                 0.1299,                0.33136,                 4.8705,                0.32297,                0.37662,                0.71807,              0.0010694,              0.0010694,              0.0010694
                     50,                0.17925,                 5.4505,                0.26514,                0.18582,                0.98677,                 0.9989,                      1,                  0.995,                0.95959,                0.43811,                 0.4386,                0.26855,                0.09549,                0.35087,                 5.2812,                0.33003,                0.36432,                0.74654,              0.0010496,              0.0010496,              0.0010496
                     51,                0.18573,                 5.5557,                0.26091,                0.20504,                0.97713,                0.99888,                      1,                  0.995,                0.96447,                0.49068,                0.49123,                 0.3276,                0.09835,                0.35667,                 5.6034,                0.33162,                 0.3299,                0.75852,              0.0010298,              0.0010298,              0.0010298
                     52,                0.17377,                 5.7115,                0.26408,                 0.1857,                0.98928,                0.99786,                      1,                  0.995,                0.95371,                0.36766,                0.36842,                0.22784,                0.06012,                0.35886,                 5.0855,                0.31337,                0.34705,                0.76329,                0.00101,                0.00101,                0.00101
                     53,                0.18492,                 5.5047,                0.25705,                0.19039,                0.97789,                0.99863,                      1,                  0.995,                0.97733,                 0.5083,                0.50877,                0.42812,                0.14203,                0.34831,                 5.0464,                 0.3103,                0.34696,                0.73879,              0.0009902,              0.0009902,              0.0009902
                     54,                0.18525,                 5.0508,                0.24728,                0.18737,                 0.9911,                0.99907,                      1,                  0.995,                0.98136,                0.43835,                 0.4386,                0.36102,                0.10372,                0.35683,                 5.6033,                0.30747,                0.34624,                0.74826,              0.0009704,              0.0009704,              0.0009704
                     55,                0.18305,                 5.0976,                0.24724,                0.18945,                0.99359,                0.99904,                      1,                  0.995,                0.96767,                0.67211,                0.68328,                0.55814,                0.18478,                0.37267,                 4.5365,                0.30462,                0.34146,                0.77945,              0.0009506,              0.0009506,              0.0009506
                     56,                0.19292,                 5.1716,                0.25032,                0.20035,                0.99035,                0.99903,                      1,                  0.995,                 0.9665,                 0.6485,                0.64912,                0.51626,                0.17867,                0.35602,                 4.7072,                0.31642,                0.36017,                0.76925,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.1869,                 4.9835,                0.24792,                0.19878,                0.98458,                0.99847,                      1,                  0.995,                0.97424,                0.57839,                0.57895,                0.46532,                0.19407,                0.33276,                 4.9663,                 0.3282,                0.33299,                 0.7466,               0.000911,               0.000911,               0.000911
                     58,                0.18328,                 4.5337,                0.24141,                0.18846,                0.99392,                0.99805,                      1,                  0.995,                0.97247,                0.63035,                0.63158,                0.52299,                0.15144,                0.33226,                  4.796,                 0.3203,                0.32425,                0.73844,              0.0008912,              0.0008912,              0.0008912
                     59,                0.18039,                 4.5407,                0.25002,                 0.1797,                0.98565,                0.99907,                      1,                  0.995,                0.97551,                 0.6501,                0.64912,                0.56297,                 0.1727,                0.32182,                  4.367,                0.31665,                0.30544,                0.70146,              0.0008714,              0.0008714,              0.0008714
                     60,                0.18416,                 4.8292,                0.25536,                0.18805,                0.97307,                0.99902,                      1,                  0.995,                0.96933,                0.66658,                0.66667,                 0.6073,                0.22742,                0.33113,                 4.2295,                0.30114,                0.34355,                0.71232,              0.0008516,              0.0008516,              0.0008516
                     61,                0.16847,                 4.7303,                0.24006,                0.17983,                0.98936,                 0.9991,                      1,                  0.995,                0.96809,                0.59593,                0.59649,                0.45289,                 0.1555,                0.30148,                 4.4718,                0.29204,                0.34429,                0.67666,              0.0008318,              0.0008318,              0.0008318
                     62,                0.18673,                  4.681,                0.22912,                0.19919,                 1.0021,                0.99894,                      1,                  0.995,                0.97636,                0.68365,                0.68421,                0.56249,                0.23309,                 0.3153,                 4.2457,                0.29437,                0.34359,                0.69973,               0.000812,               0.000812,               0.000812
                     63,                0.16658,                 4.6174,                0.23833,                0.18471,                0.97981,                0.99889,                      1,                  0.995,                0.97614,                0.54494,                0.54386,                0.40782,                0.13486,                0.29544,                 4.4022,                0.29911,                0.33915,                0.66971,              0.0007922,              0.0007922,              0.0007922
                     64,                0.17995,                 4.4284,                0.24039,                0.19094,                 1.0004,                0.99914,                      1,                  0.995,                0.97295,                 0.4963,                0.49123,                0.38149,                0.15064,                0.29657,                 4.2388,                0.30353,                  0.301,                 0.6779,              0.0007724,              0.0007724,              0.0007724
                     65,                0.16781,                 4.3424,                0.23123,                0.17764,                0.98995,                0.99908,                      1,                  0.995,                 0.9711,                0.64022,                0.63158,                0.57787,                0.21039,                0.30031,                 4.4556,                0.30683,                0.31168,                0.69839,              0.0007526,              0.0007526,              0.0007526
                     66,                 0.1655,                  4.125,                 0.2351,                 0.1741,                0.97645,                0.99907,                      1,                  0.995,                0.97885,                0.64532,                0.63158,                0.54268,                0.23222,                0.29614,                 4.0956,                0.30486,                0.34354,                0.68109,              0.0007328,              0.0007328,              0.0007328
                     67,                0.15875,                 4.2052,                0.23853,                 0.1703,                   0.99,                0.99901,                      1,                  0.995,                0.97342,                0.73627,                 0.7193,                 0.6501,                0.22436,                0.30924,                 3.9518,                0.29229,                0.33868,                0.68897,               0.000713,               0.000713,               0.000713
